PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
18/00163/D,Temporary Carpark Site Of Former Print Works Opposite Marks And Spencer Store Market Street Douglas Isle Of Man ,Installation of illuminated signage (in association with approved Hotel PA 17/00823/B),Permitted,27-Apr-18,Principal Planner - South (SC)
18/00164/B,4 Little Meddow Andreas Isle Of Man IM7 4HY,Erection of front porch to replace existing canopy,Permitted,19-Apr-18,Head of Development Management
18/00165/B,Roslyn House Alexander Drive Douglas Isle Of Man IM2 3QP ,Erection of a detached garage (amendments to approved PA 17/00098/B),Permitted,02-May-18,Head of Development Management
18/00166/B,Manella Kerrowkeil Road Grenaby Ballasalla Isle Of Man IM9 3BB,Replacement of existing annex roof with tiled roof,Permitted,03-Apr-18,Principal Planner- North (CB)
18/00167/D,Summerhill Glen Summerhill Douglas Isle Of Man  ,Installation of illuminated signage,Permitted,27-Apr-18,Principal Planner - South (SC)
18/00168/B,Wyncardy 32 Cannan Avenue Kirk Michael Isle Of Man IM6 1HG,Replacement of existing annex roof with tiled roof,Permitted,16-Apr-18,Principal Planner - South (SC)
18/00169/CON,Outbuildings Eastfield Mansion House (care Home) Eastfield Douglas Isle Of Man IM1 4AU,Registered Building Consent for the demolition of outbuildings and wall,Permitted,02-May-18,Principal Planner- North (CB)
18/00170/B,West Wind Main Road Colby Isle Of Man IM9 4AD,Replacement of existing annex roof with tiled roof,Permitted,03-Apr-18,Principal Planner- North (CB)
18/00171/B,Woodville Castletown Road Port St. Mary Isle Of Man IM9 5LT,Alterations and rear extension to property,Permitted,16-Apr-18,Principal Planner - South (SC)
18/00172/B,North Star House West Baldwin Isle Of Man IM4 5EZ ,Replacement of existing septic tank with domestic sewage treatment plant,Permitted,19-Apr-18,Head of Development Management
18/00173/B,Ashley Somerset Road Douglas Isle Of Man IM2 5BA,Replacement of existing pvc front door and side panels with pvc green finish door and clear side panels,Permitted,16-May-18,Principal Planner- North (CB)
18/00174/B,Thie-Cronk Croit E Quill Road Laxey Isle Of Man IM4 7JH,Creation of off road parking and vehicular access (retrospective),Permitted,30-May-18,Principal Planner - South (SC)
18/00175/B,11 Parliament Street Ramsey Isle Of Man IM8 1AS,Installation of three first floor replacement windows,Permitted,18-Jul-18,Head of Development Management
18/00176/B,Snugborough House Main Road Union Mills Isle Of Man IM4 4LW,Proposed construction of 24 two bedroom apartments and 6 one bedroom apartments with associated car parking and landscaping,Permitted,12-Jun-18,Planning Committee
18/00177/B,Mount Pleasant Main Road Colby Isle Of Man IM9 4AE,Installation of replacement roof tiles and removal of rear chimney stack,Permitted,03-Apr-18,Principal Planner- North (CB)
18/00178/B,Lily Cottage Main Road Kirk Michael Isle Of Man IM6 1ER ,Widening of existing garage door,Permitted,16-Apr-18,Principal Planner - South (SC)
18/00179/B,Briarwood Glen Chass Road Glen Chass Port St. Mary Isle Of Man IM9 5PN,Installation of replacement roof tiles,Permitted,03-Apr-18,Principal Planner- North (CB)
18/00180/B,22 Hildesley Road Douglas Isle Of Man IM2 5AZ,Replacement of front wooden door and top light with uPVC door and frame with top light,Permitted,03-May-18,Principal Planner- North (CB)
18/00181/B,7 Carrick Bay View Colby Isle Of Man IM9 4DD ,"Alterations, erection of an extension to replace existing conservatory and extension of patio area",Permitted,03-Apr-18,Principal Planner- North (CB)
18/00182/B,White Cottage Pinfold Hill Laxey Isle Of Man IM4 7HN,Erection of a dwelling (amendments to PA 12/01690/B),Permitted,14-Jun-18,Director 2017+
18/00183/LAW,2 Roslyn Terrace Douglas Isle Of Man IM2 5DE,Application for certificate of Lawful Development for installation of replacement windows on rear elevation,Certificate of Lawfulness AGREED,16-May-18,Principal Planner- North (CB)
18/00184/B,Mount Murray Golf Club Mount Murray Ballacutchel Road Mount Murray Douglas Isle Of Man  ,Creation of a lower ground floor laundry for Hotel Complex with associated access,Permitted,06-Apr-18,Principal Planner - Enf (AM)
18/00185/B,Ballayockey Ballayockey Lane Regaby Ramsey Isle Of Man IM7 3HP,Erection of agricultural shed for housing of livestock and machinery storage,Permitted,25-May-18,Principal Planner - South (SC)
18/00186/B,18 Princes Street Douglas Isle Of Man IM1 1BD,Alterations and extension to rear of property,Permitted,17-May-18,Head of Development Management
18/00187/B,1 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WS ,Single storey extension to rear of property,Permitted,27-Apr-18,Principal Planner - South (SC)
18/00188/B,Murtagh House Battery Road Peel Isle Of Man IM5 1UD ,Erection of summer house within garden of property,Permitted,06-Apr-18,Principal Planner - Enf (AM)
18/00189/B,Horse And Plough Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ,"Removal of conditions 1 & 2 of 14/01078/B, Installation of timber fencing (retrospective), regarding Northern boundary fencing and addition planting of hedge",Permitted,03-May-18,Principal Planner- North (CB)
18/00190/B,1 Parsonage Glebe St Johns Isle Of Man IM4 3LT,Replacement of conservatory with extension to kitchen and dining room and installation of flue,Permitted,17-May-18,Head of Development Management
18/00191/B,7 Birch Hill Crescent Onchan Isle Of Man IM3 3JA,"Alterations, enlargement of gable window to a doorway and installation of an external staircase to side elevation",Refused,01-Jun-18,Head of Development Management
18/00192/B,High Tilt Douglas Road Kirk Michael Isle Of Man IM6 1AS,Alterations and extension to existing pool and stables to create additional ancillary living accommodation,Permitted,30-May-18,Principal Planner - South (SC)
18/00193/B,Curlew House Garey Ramsey Isle Of Man IM7 2EH ,Erection of car port over existing parking area,Permitted,22-May-18,Head of Development Management
18/00194/B,16 King Edward Park Onchan Isle Of Man IM3 2AE,Extension of existing conservatory,Permitted,15-May-18,Head of Development Management
18/00195/B,1 Fairy Hill Close Ballafesson Port Erin Isle Of Man IM9 6TL,Stabilisation scheme to repair and protect watercourse from soil erosion,Permitted,06-Apr-18,Principal Planner - Enf (AM)
18/00196/B,Halcyon Days Main Road Ballaugh Isle Of Man IM7 5EX,Construction of equestrian manäge within existing garden of property,Permitted,25-Jun-18,Principal Planner- North (CB)
18/00197/B,Gatekeepers Cottage Douglas Road Ballasalla Isle Of Man  ,Demolition of existing dwelling (Gatekeeper Cottage) and erection of replica building on part of Field 434107 adjacent and erection of replacement dwelling and new access drive and associated landscaping incorporating part Field 434112 and associated work,Permitted,24-Apr-18,Planning Committee
18/00198/B,Wildlife Ballamenagh Road Baldrine Isle Of Man IM4 6AG,Erection of an extension to replace existing and extension to existing decking,Permitted,22-May-18,Head of Development Management
18/00199/LAW,24 Church Street Peel Isle Of Man IM5 1HL,Application for certificate of Lawful Development for installation of replacement windows,Certificate of Lawfulness AGREED,17-Apr-18,Principal Planner - South (SC)
18/00200/A,Field 624255 Glen Mona Loop Road Glen Mona Ramsey Isle Of Man  ,Approval in principle for the erection of a dwelling,Refused,31-Jul-18,Planning Committee
18/00201/B,Reayrt House Andreas Village Isle Of Man IM7 4HH ,Extension to form bay window at rear of property,Permitted,17-May-18,Head of Development Management
18/00202/B,8 Whitebridge Road Onchan Isle Of Man IM3 4HS,Widening of vehicular access and relocation of pillar (retrospective),Permitted,24-Apr-18,Principal Planner - South (SC)
18/00203/B,17 Cooil Breryk Ramsey Isle Of Man IM8 3HL ,Erection of porch,Permitted,14-Jun-18,Director 2017+
18/00204/B,22 Ballagyr Park Peel Isle Of Man IM5 1UN,"Alterations, erection of an extension to replace conservatory and installation of a flue",Permitted,17-Apr-18,Principal Planner - South (SC)
18/00205/B,5 Cronk Y Berry Mews Douglas Isle Of Man IM2 6HQ,Conversion of garage into living accommodation and extension of entrance porch to allow wheelchair access,Permitted,17-May-18,Head of Development Management
18/00206/C,Mountain View Innovation Centre Jurby Road Ramsey Isle Of Man IM7 2DZ ,Change of use of a sound recording studio to a childrens day nursery,Permitted,17-Jul-18,Planning Committee
18/00207/B,80 Royal Avenue Onchan Isle Of Man IM3 1LB,Removal of a chimney stack,Permitted,26-Apr-18,Principal Planner - South (SC)
18/00208/LAW,Smeale Beg Smeale Andreas Isle Of Man IM7 3EB ,"Application for certificate of Lawful Development for installation of a porch, window and dormer",Certificate of Lawfulness AGREED,16-May-18,Principal Planner- North (CB)
18/00209/B,38 Murrays Road Douglas Isle Of Man IM2 3HW ,Alterations and refurbishment to create 10 bedroom hostel (alterations to PA 17/01028/B including window and door to bike store),Permitted,10-Apr-18,Planning Committee
18/00210/B,Sabrew Main Road Sulby Isle Of Man IM7 2HF,Redevelopment of Sabrew and adjacent vacant plot to create 3 dwellings,Refused,23-Oct-18,Head of Development Management
18/00211/C,Shop 3 Michael Street Peel Isle Of Man IM5 1HA ,Change of use of premises from retail to Class 2 Financial and Professional Services,Permitted,17-Apr-18,Principal Planner - South (SC)
18/00212/B,4 Peveril Terrace Peel Isle Of Man IM5 1PH,"Alterations, erection of rear extension and refurbishment works",Permitted,17-Apr-18,Principal Planner - South (SC)
18/00213/B,16 Cronk Ny Greiney Douglas Isle Of Man IM2 5LW,"Erection of flue, creation of new pedestrian access and associated landscaping works, replacement and extension of balcony with balustrading (retrospective)",Permitted,19-Sep-18,Principal Planner- North (CB)
18/00214/B,Plot Adj To 25 Head Road Douglas Isle Of Man  ,Erection of a dwelling,Permitted,25-Jun-18,Principal Planner- North (CB)
18/00215/B,How Yngren Douglas Street Castletown Isle Of Man IM9 1AY,Replacement of existing pebble dash render with a smooth painted render,Permitted,03-May-18,Principal Planner- North (CB)
18/00216/B,Balley Beg Lonan Church Road Laxey Isle Of Man IM4 7JX,Construction of a chimney,Permitted,15-May-18,Head of Development Management
18/00217/B,2 Cooil View Douglas Isle Of Man IM2 2HQ,"Alterations including replacement of conservatory with sun room, creation of french door and juliet balcony from master bedroom, installation of uPVC windows and removal of chimney",Permitted,15-May-18,Head of Development Management
18/00218/B,Thie Vooinjer Veg Croit E Quill Road Laxey Isle Of Man IM4 7JG ,"Erection of garden store, lower patio area and retaining wall",Permitted,26-Apr-18,Principal Planner - South (SC)
18/00219/B,Scholaby Mill Ballakilpheric Road Colby Isle Of Man IM9 4BX ,Renovation and extension of former mill building to create a dwelling,Permitted,11-May-18,Planning Committee
18/00220/B,Ballaseyre Barn Ballaseyre Andreas Isle Of Man IM7 4EN ,Replacement of existing french windows with double glazed window and brick infill below.,Permitted,15-May-18,Head of Development Management
18/00221/B,The Long House Lag Birragh Drive Onchan Isle Of Man IM3 2JW,Alterations and single storey side extension to property,Permitted,25-May-18,Principal Planner - South (SC)
18/00222/B,Hospice Isle Of Man Strang Douglas Isle Of Man IM4 4RP ,Amendments to car park to provide 22 additional spaces for staff and visitor parking,Permitted,03-May-18,Principal Planner- North (CB)
18/00223/B,Hospice Isle Of Man Strang Douglas Isle Of Man IM4 4RP ,Alterations and enhancements to new entrance and reception area to in-patient unit,Permitted,03-May-18,Principal Planner- North (CB)
18/00224/B,42 Ballahane Close Port Erin Isle Of Man IM9 6EH,Installation of a dormer extension to front elevation,Refused,30-Apr-18,Principal Planner- North (CB)
18/00225/B,79 Lezayre Park Ramsey Isle Of Man IM8 2PU,Erection of an extension,Permitted,25-Jul-18,Principal Planner - South (SC)
18/00226/B,Field 330341 Ballabrooie Patrick Road St Johns Isle Of Man  ,Creation of a field access,Permitted,15-Jun-18,Director 2017+
18/00227/B,Part Field 524027 Land At Rear Of Oakhill Cottages Oak Hill Port Soderick Isle Of Man  ,Erection of a double garage to replace existing single garage,Permitted,23-Jul-18,Head of Development Management
18/00229/C,5 Mews Cottages Factory Lane Peel Isle Of Man IM5 1HF ,Additional use of residential dwelling as tourist accommodation,Permitted,26-Apr-18,Principal Planner - South (SC)
18/00230/C,1 Market Hill Ramsey Isle Of Man IM8 1JT ,Change of use from retail/therapy to ice cream parlour,Permitted,14-Jun-18,Director 2017+
18/00231/B,Canaan Valley West Kimmeragh Road Bride Isle Of Man IM7 4BA,Erection of building for storage/maintenance of private motorcycle collection,Permitted,14-Jun-18,Director 2017+
18/00232/B,4 Derby Road Douglas Isle Of Man IM2 3ET,Replacement of existing UPVC rear window,Permitted,25-May-18,Principal Planner - South (SC)
18/00233/B,37 Stanley Terrace Christian Street Peel Isle Of Man IM5 1NP ,"Alterations, installation of replacement roof tiles and replacement windows to front elevation",Permitted,16-Apr-18,Principal Planner - Enf (AM)
18/00234/D,Doctors Surgery Kensington Road GP Practice Westmoreland Road Douglas Isle Of Man IM1 4QA ,Erection of signage,Permitted,27-Apr-18,Principal Planner - South (SC)
18/00235/B,Doctors Surgery Kensington Road GP Practice Westmoreland Road Douglas Isle Of Man IM1 4QA ,Removal of existing external doors and increase opening widths to curved entrance corridor,Permitted,27-Apr-18,Head of Development Management
18/00236/B,81 Anagh Coar Road Douglas Isle Of Man IM2 2AS,Single storey extension to front elevation to provide ground floor wc,Permitted,14-Jun-18,Director 2017+
