PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
15/00286/CON,Packet House The Quay Castletown Isle Of Man IM9 1LD ,"Registered Building consent for internal alterations, installation of replacement roof tiles and replacement bay window to dwelling (in association with 15/00285/GB) Registered Building Nos. 42",20-May-15,Planning Committee,Permitted
15/00287/D,14 Castle Street Douglas Isle Of Man IM1 2EU,Installation of signage to approved outside seating area barriers (PA 14/00339/B),09-Jun-15,Department Application,Permitted
15/00288/B,2 Ballakilley Close Bride Isle Of Man IM7 4AU,Alterations and erection of extension to dwelling,28-Apr-15,Head of Development Management,Permitted
15/00289/C,Unit 9 & 10 Clinches Court North Quay Douglas Isle Of Man IM1 4LH,Change of use from a healthcare business to a dental surgery,28-Apr-15,Head of Development Management,Permitted
15/00290/B,10 Charles Street Peel Isle Of Man IM5 1AF,Erection of a rear extension to replace existing to dwelling (amendment to PA 14/01260/B),28-Apr-15,Head of Development Management,Permitted
15/00291/B,Hillcrest 2 Cronk Road Union Mills Isle Of Man IM4 4NJ,Erection of an extension to rear elevation of dwelling,28-Apr-15,Head of Development Management,Permitted
15/00292/C,Surby Mount Surby Road Surby Port Erin Isle Of Man IM9 6TA,Additional use of dwelling as tourist accommodation,28-Apr-15,Head of Development Management,Permitted
15/00293/B,2 Victoria Avenue Douglas Isle Of Man IM2 4AN,"Alterations, installation of a roof, roof lights, flue and creation of gable window to dwelling",28-Apr-15,Head of Development Management,Permitted
15/00294/B,Sonnish Ny Marrey 55 Queen Street Castletown Isle Of Man IM9 1PA,Installation of a flue to dwelling,28-Apr-15,Head of Development Management,Permitted
15/00295/B,Nekia Bay View Road Port Erin Isle Of Man IM9 6NA,Alterations and erection of extension to dwelling,28-Apr-15,Head of Development Management,Permitted
15/00296/B,5 The Crescent Douglas Isle Of Man IM2 5ET,Replacement of existing glazed conservatory roof with roof tiles,28-Apr-15,Head of Development Management,Permitted
15/00297/B,17 Farmhill Lane Douglas Isle Of Man IM2 2EF,Erection of an extension to dwelling,28-Apr-15,Head of Development Management,Permitted
15/00298/B,Garage And Store Adjacent To 5 Mona Street Ramsey Isle Of Man IM8 1BD,Demolition of existing storage buildings and erection of new storage building over rear yard together with roofing works to existing garage,29-Apr-15,Head of Development Management,Permitted
15/00299/B,8 Queens Terrace Douglas Isle Of Man IM1 4BZ,Installation of first floor windows to dwelling,29-Apr-15,Head of Development Management,Permitted
15/00300/B,6 Stanley Terrace Douglas Isle Of Man IM2 4EP,Erection of a replacement garage with hobby room / storage above to dwelling,29-Apr-15,Senior Planning Officer - South (SC),Permitted
15/00301/B,4 Baldrine Park Baldrine Isle Of Man IM4 6DE,Alterations and erection of an extension to rear elevation of dwelling,29-Apr-15,Head of Development Management,Permitted
15/00302/B,Vacant Motor Garage / Sales Premises Between Former Wool Centre & 41 Peel Road Peel Road Douglas Isle Of Man ,Removal of walls and glazed screens to rear of building in order to create internal and external temporary car parking for a period of four years,26-May-15,Director Delegation,Permitted
15/00303/B,84 Lakeside Road Douglas Isle Of Man IM2 7DD,Alterations and erection of extension to dwelling,29-Apr-15,Head of Development Management,Refused
15/00304/B,147 Woodbourne Road Douglas Isle Of Man IM2 3AZ,"Alterations and erection of a garage with hobby/store room extension behind, to replace existing and replacement of boundary wall",29-Apr-15,Head of Development Management,Permitted
15/00305/B,54 Ormly Road Ramsey Isle Of Man IM8 3LJ,Installation of a flue (retrospective),29-Apr-15,Head of Development Management,Permitted
15/00306/B,4 College Green Castletown Isle Of Man IM9 1BE,Alterations and erection of a two storey extension to dwelling,10-Jun-15,Director Delegation,Permitted
15/00307/B,41 Ballakermeen Drive Douglas Isle Of Man IM1 4HT,Creation of driveway and vehicular access in front garden,29-Apr-15,Head of Development Management,Permitted
15/00308/B,Plot Of Land And Stone Barn Rowany Drive Port Erin Isle Of Man IM9 6LP,Demolition of existing stone barn and erection of two detached dwellings with attached garage and associated services,11-Aug-15,Department Application,Permitted
15/00309/B,3 Birchleigh Close Onchan Isle Of Man IM3 4EX,Alterations and erection of dormers to dwelling,29-Apr-15,Head of Development Management,Permitted
15/00310/B,Ballamin Cottage Lhen Road Bride Isle Of Man IM7 4BG,Alterations and erection of a two storey link extension to provide ancillary living accommodation to dwelling,10-Jun-15,Director Delegation,Permitted
15/00311/B,11-12  West Quay Ramsey Isle Of Man IM8 1DW ,Alterations and extensions to property and change of use from retail and residential to retail and office accommodation,09-Jun-15,Director Delegation,Permitted
15/00312/LAW,Access Lane To Clough Willey Tosaby Road St Marks Ballasalla Isle Of Man  ,"Application for Certificate of Lawful Development for an access lane to property including junction with public highway, gates and pillars and culverting of stream",29-Apr-15,Head of Development Management,Certificate of Lawfulness AGREED
15/00313/B,Merchants House 24 North Quay Douglas Isle Of Man IM1 4LE,Installation of replacement windows to front elevation,12-May-15,Director Delegation,Permitted
15/00314/B,Loch Hotel 33 - 34 Loch Promenade Douglas Isle Of Man IM1 2LY,Installation of replacement windows to front elevation,29-Apr-15,Head of Development Management,Permitted
15/00315/B,Bayr Niar 5 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP,Alterations to conservatory roof and replacement of existing single door with twin door,29-Apr-15,Head of Development Management,Permitted
15/00316/B,The Spinney Baldrine Hill Baldrine Isle Of Man IM4 6DS,Construction of a first floor balcony and non installation of one no. ground floor window as approved under PA11/00784/B,29-Apr-15,Head of Development Management,Permitted
15/00317/B,24 Crovens Close Douglas Isle Of Man IM2 7AH,Erection of an extension to replace existing conservatory,29-Apr-15,Head of Development Management,Permitted
15/00318/B,8 Grammah Avenue Port Erin Isle Of Man IM9 6NR,"Erection of extension to rear elevation, and widening of existing vehicular access to create two off street parking spaces",19-Aug-15,Director Delegation,Permitted
15/00319/B,40 Demesne Road Douglas Isle Of Man IM1 3DY ,Installation of two replacement windows to rear elevation,29-Apr-15,Head of Development Management,Permitted
15/00320/B,Tromode Drill Hall  Tromode Road Douglas Isle Of Man IM2 5PA,"Enclosure of existing open roof access to form first floor porch, lobby and toilet facilities",29-Apr-15,Head of Development Management,Permitted
15/00321/B,10 Myrtle Street Douglas Isle Of Man IM1 1ED,"Alterations, erection of an extension and creation of a parking space to rear elevation",29-Apr-15,Head of Development Management,Permitted
15/00322/B,9 Westminster Terrace Douglas Isle Of Man IM1 4ED,Installation of roof light (retrospective),29-Apr-15,Head of Development Management,Permitted
15/00323/B,Crossroads Nursery  Masham Court Victoria Avenue Douglas Isle Of Man IM2 4AW,Variation of condition 3 of PA 12/01643/B to increase the number of children accommodated within the nursery at any one time,29-Apr-15,Head of Development Management,Permitted
15/00324/B,57 Farmhill Meadows Douglas Isle Of Man IM2 2LN,Alteration to conservatory and installation of external flue,09-Jun-15,Director Delegation,Permitted
15/00325/B,1 Perwick Road Port St. Mary Isle Of Man IM9 5PA,Erection of a replacement dwelling,21-Oct-15,Planning Committee,Refused
15/00327/B,Tamalforn 12 Ballagarey Road Glen Vine Isle Of Man IM4 4EA,Alterations and extensions to dwelling,21-Oct-15,Planning Committee,Refused
15/00328/B,Lough View Andreas Road Andreas Isle Of Man IM7 4EN,Erection of a single storey extension to side and rear elevation,12-May-15,Director Delegation,Refused
15/00329/B,Ocean Ford Isle Of Man Business Park Douglas Isle Of Man IM2 2QY ,Replacement of part cladding with glazed screens to building,29-Apr-15,Head of Development Management,Permitted
15/00330/B,5 Princes Avenue Douglas Isle Of Man IM2 3JB,Alterations and upgrading of existing three self-contained flats including creation of on-site parking at rear of building,13-May-15,Director Delegation,Permitted
15/00331/B,Castlebay Seafoods Ltd Isle Of Man Food Park Mill Road Peel Isle Of Man IM5 1TD ,Erection of a two storey extension to existing building,17-Aug-15,Senior Planning Officer - South (SC),Permitted
15/00332/B,The Co-Operative Food  18 Duke Street Douglas Isle Of Man IM1 2AY,Creation of a ramp for disabled access outside the shop entrance,09-Jun-15,Department Application,Permitted
15/00333/C,Haldane Fisher Car Park Isle Of Man Business Park Douglas Isle Of Man IM2 2QY ,Use of part of car park for the operation of a mobile catering unit,13-May-15,Director Delegation,Permitted
15/00334/B,Belmont 10 Princes Road Douglas Isle Of Man IM2 4HX ,Removal of chimney stack to rear elevation,13-May-15,Director Delegation,Permitted
15/00335/LAW,14 Hawarden Avenue Douglas Isle Of Man IM1 4BS ,Application for a Certificate of Lawful Development for conversion of dwelling into two apartments,14-Jul-15,Head of Development Management,Permitted
15/00336/B,No 53 (Plot 21) New Development Adjacent To Cronk Cullyn Colby Isle Of Man  ,Erection of a dwelling (amendment to dwelling approved under PA 13/91392/B),30-Apr-15,Head of Development Management,Permitted
15/00337/B,Land At Midway House Derbyhaven Castletown Isle Of Man  ,Erection of a dwelling,02-Nov-15,Planning Committee,Permitted
15/00338/B,Isabella Cottage 24 Mines Road Laxey Isle Of Man IM4 7NH,Installation of replacement windows and doors,13-May-15,Director Delegation,Permitted
15/00339/B,7 Manor Woods Douglas Isle Of Man IM2 2PE ,Erection of sun lounge extension to replace existing conservatory,13-May-15,Director Delegation,Permitted
15/00340/B,58 Julian Road Douglas Isle Of Man IM2 6EN,Installation of a conservatory to replace existing,13-May-15,Director Delegation,Permitted
15/00341/B,The Sycamores Leodest Road Andreas Isle Of Man IM7 4HA,Erection of a detached double garage with hobbies/store room over,29-Jul-15,Director Delegation,Permitted
15/00342/B,15 Kermode Road Crosby Isle Of Man IM4 4BZ,Widening of vehicular access onto highway,14-May-15,Director Delegation,Permitted
15/00343/B,High Ridge Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN,"Alterations, erection of an extension and installation of a dormer window to dwelling",14-May-15,Director Delegation,Permitted
15/00344/B,5 Ballacollister Heights Laxey Isle Of Man IM4 7JW,Enlargement of existing kitchen window to rear elevation to provide bi-fold doors,14-May-15,Director Delegation,Permitted
15/00345/A,Field 312711 Balladoyne Farm  Main Road St Johns Isle Of Man  ,Approval in principle for construction of a temporary access road for construction traffic,15-Jul-15,Planning Committee,Permitted
15/00346/B,Vacant Site Formerly 1 And 2 The Promenade Port St. Mary Isle Of Man  ,Erection of a pair of dwellings to replace demolished dwellings,30-Apr-15,Director Delegation,Permitted
15/00347/B,19 And 20 Lime Street Port St. Mary Isle Of Man  ,Blocking up of an internal opening to create two separate dwellings,14-May-15,Director Delegation,Permitted
15/00348/B,57 Derby Road Douglas Isle Of Man IM2 3EW,Alterations and erection of extension to rear elevation of dwelling,14-May-15,Director Delegation,Permitted
15/00349/B,The Bluffs Formerly Hawarden Villas   Hawarden Avenue Douglas Isle Of Man IM1 4BX ,Installation of replacement windows,19-May-15,Head of Development Management,Permitted
15/00350/B,9 Ellan Park Ramsey Isle Of Man IM8 3NS,Creation of three additional windows to dwelling,14-May-15,Director Delegation,Permitted
15/00351/B,18 Castlemona Avenue Douglas Isle Of Man IM2 4EH,Conversion of existing dwelling into four self-contained apartments,11-Aug-15,Planning Committee,Refused
15/00352/B,Retaining Wall Hope Street Castletown Isle Of Man  ,Improvements to flood defences comprising new headwall and penstock arrangement and increase in height of existing retaining wall,31-Jul-15,Department Application,Permitted
15/00353/B,Hilltop Nurseries  Stephenson Way Roundabout Vicarage Road Douglas Isle Of Man IM4 2AE,Replacement of existing sod hedge with a Manx stone wall,03-Aug-15,Department Application,Permitted
15/00354/B,Balladoole 46 Bowring Road Ramsey Isle Of Man IM8 3EJ,Demolition of existing dwelling and erection of four dwellings with garaging,08-Jun-15,Director Delegation,Refused
15/00355/B,5 Fuchsia Court Hailwood Avenue Douglas Isle Of Man IM2 7EL,Installation of double doors to replace existing window,14-May-15,Director Delegation,Permitted
15/00356/C,Unit 2 Typhoon House Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EB ,Change of use of unit from industrial/storage/distribution to the servicing and repair of vehicles (retrospective),14-Jul-15,Head of Development Management,Permitted
15/00357/B,Pineview The Level Colby Isle Of Man IM9 4AL,"Alterations to existing dwelling, erection of an extension to create additional dwelling and associated landscaping with extension to the residential curtilage",05-Jun-15,Planning Committee,Permitted
15/00358/C,Unit 1 Riverside Works Pulrose Road Douglas Isle Of Man IM2 1AB ,Change of use of first floor from retail to a fitness centre,13-Jul-15,Planning Committee,Permitted
15/00359/B,10 Little Meddow Andreas Isle Of Man IM7 4HY,Alterations and two storey extension to dwelling,16-Jul-15,Director Delegation,Permitted
