"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"22/00689/B","Erection of detached single storey timber cabin to the rear","10 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP ","Permitted","29-Jul-22","Principal Planner - South (JS)","2022"
"22/00690/B","Installation of a mobile field stable / shelter (retrospective)","Fields 622432, 622468, 622467, 622463, 624497, 622465, 622471, 622435, 624326 & 624325  Adjacent To Dhoon Loop Road Dhoon Ramsey Isle Of Man  ","Refused","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00691/B","Installation of three replacement windows","Dubbey Mooar 44 - 46 Queen Street Castletown Isle Of Man IM9 1NZ","Permitted","21-Jul-22","Principal Planner - South (JS)","2022"
"22/00692/B","Installation of new roof to sunroom extension involving the increase in roof pitch (retrospective)","35 All Saints Park Lonan Laxey Isle Of Man IM4 7LB ","Permitted","16-Sep-22","Principal Planner- North (CB)","2022"
"22/00693/MCH","Minor change application to PA 19/00954/B Installation of replacement sliding patio door in existing rear door and window aperture and installation of a handrail to the ramp at the rear","1 & 3 Reayrt Y Chrink Southlands Crescent Port Erin Isle Of Man IM9 6BE","Permitted","24-Jun-22","Head of Development Management","2022"
"22/00694/B","Conversion of existing Workshop/Home Office to provide additional living accommodation in association with the main dwelling with additional tourist let usage","Cottimans Port E Vullen Ramsey Isle Of Man IM7 1AP ","Permitted","30-Sep-22","Principal Planner- North (CB)","2022"
"22/00695/B","Removal of a chimney stack to rear elevation (retrospective)","17 Greeba Drive Onchan Isle Of Man IM3 1ER","Permitted","11-Jul-22","Principal Planner- North (CB)","2022"
"22/00696/C","Change of Use of levels 1, 2 and 3 to south of main entrance and level 4 to both sides of the main entrance from office to gymnasium/wellness centre","Victory House Prospect Hill Douglas Isle Of Man IM1 1EQ ","Permitted","25-Jul-22","Principal Planner - South (JS)","2022"
"22/00697/C","Change of use of ground floor office (class 2.1) to a residential flat (class 3.4)","Woodbourne House Woodbourne Lane Douglas Isle Of Man IM2 3LJ","Refused","02-Sep-22","Principal Planner - Enf (AM)","2022"
"22/00698/B","Alterations, creation of a single storey garage with a roof terrace on its flat roof to the rear of the property, and installation of a roof lantern","37 Woodburn Square Douglas Isle Of Man IM1 4DD ","Refused","04-Aug-22","Principal Planner - South (JS)","2022"
"22/00699/B","Installation of sliding doors & decking area, blocking up of door to the rear","36 King Edward Park Onchan Isle Of Man IM3 2AB ","Permitted","26-Aug-22","Principal Planner - South (JS)","2022"
"22/00700/B","Installation of dormer windows to the front and rear of the property with associated works","4 High View Road Douglas Isle Of Man IM2 5BQ","Refused","04-Aug-22","Principal Planner - South (JS)","2022"
"22/00701/B","Installation of a flue (retrospective)","2 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT","Permitted","12-Jul-22","Principal Planner- North (CB)","2022"
"22/00702/B","Repair works and Installation of replacement roof tiles and land drainage works","Knockuskey Cottage Niarbyl Road Dalby Isle Of Man IM5 3BS ","Permitted","30-Aug-22","Principal Planner- North (CB)","2022"
"22/00703/C","Additional use of residential (class 3.3) as tourist accommodation (class 3.6)","2 High Street Port St Mary Isle Of Man IM9 5DR ","Permitted","29-Jul-22","Principal Planner - South (JS)","2022"
"22/00704/CON","Registered Building consent for the removal of existing cement rendered window reveals surrounds to 11no windows on the south & west elevations and reinstatement to match existing using lime mortar (RB Nos. 28)","Derby House  Castle Street & Parliament Square Castletown Isle Of Man IM9 1LA","Permitted","04-Aug-22","Principal Planner - South (JS)","2022"
"22/00705/B","Erection of a quadruple garage with living space above","The Nab Farm Top Road Crosby Isle Of Man IM4 4HL","Permitted","16-Sep-22","Principal Planner- North (CB)","2022"
"22/00706/B","Erection of extension to club house to provide storage, toilet facilities and access","Ballaugh Bowling Club Ballacrosha Ballaugh Isle Of Man IM7 5AF","Permitted","12-Jul-22","Director 2017+","2022"
"22/00707/B","Creation of a temporary parking for storage of plant vehicles and equipment for use by the Manx Development Corporation","Ballacloan School (former) Demesne Road Douglas Isle Of Man IM1 3DX","Permitted","10-Aug-22","Planning Committee","2022"
"22/00708/B","Replace existing wooden front door and frame with bespoke painted hardwood incorporating upper double glazed","2 Shore Road Laxey Isle Of Man IM4 7DJ","Permitted","04-Aug-22","Principal Planner - South (JS)","2022"
"22/00709/B","Erection of extension to replace existing conservatory and the erection of a decking (Partial retrospective).","10 Langdale Close Onchan Isle Of Man IM3 2DD","Permitted","22-Sep-22","Principal Planner- North (CB)","2022"
"22/00710/B","Removal of chimney stack and internal chimney breast with associated works","Thie Corneil 8 Close Cubbon Peel Isle Of Man IM5 1NS","Permitted","12-Aug-22","Head of Development Management","2022"
"22/00711/B","Widening of driveway and vehicular access","11 Hilltop View Douglas Isle Of Man IM2 2LD","Permitted","12-Jul-22","Director 2017+","2022"
"22/00712/D","Erection of non-illuminated  acrylic sign","Unit 3 Peel Road Retail Park Peel Road Douglas Isle Of Man IM1 5EE ","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00713/B","Erection of first floor extension above garage and extension of driveway and vehicular access","4 Meayll Drive Ballakilley Port St Mary Isle Of Man IM9 5NT ","Permitted","29-Jul-22","Principal Planner - South (JS)","2022"
"22/00714/B","Creation terrace area and replacement of existing window with patio doors to rear elevation","16 Tromode Heights Douglas Isle Of Man IM2 5LU","Permitted","12-Aug-22","Head of Development Management","2022"
"22/00716/B","Erection of an agricultural building","Ballavell Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP","Permitted","28-Jul-22","Head of Development Management","2022"
"22/00717/B","To increase the area of the private driveway and widening of the existing vehicle access","24 Wentworth Close Onchan Isle Of Man IM3 2JT","Permitted","05-Sep-22","Principal Planner- North (CB)","2022"
"22/00719/B","Erection of an agricultural building.","North West Of Upper Billown Farm West Grenaby Road Ballasalla Isle Of Man IM9 3DP ","Permitted","28-Jul-22","Head of Development Management","2022"
"22/00720/CON","Registered building consent for removal of part of front garden wall and the creation of vehicle access and hard standing for on site parking and the repositioning of street furniture (in association with PA 22/00721/B)","The Oaks 53 Brunswick Road Douglas Isle Of Man IM2 3NW","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00721/B","Removal of part of front garden wall and the creation of vehicle access and hard standing for on site parking and the repositioning of street furniture.","The Oaks 53 Brunswick Road Douglas Isle Of Man IM2 3NW","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00722/B","Installation of replacement windows and application of paint to building","30, 30A & 31 North Quay Douglas Isle Of Man IM1 4LB ","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00724/B","Erection of two storey dwelling and creation of vehicular access and hardstanding.","Sulby Shop Gara Aalin Main Road Sulby Isle Of Man IM7 2HR","Permitted","22-Nov-22","Planning Committee","2022"
"22/00725/B","Erection of tourist accommodation, farm shop and toilet facilities","Ballacosnahan Farm Patrick Road Patrick Village Isle Of Man IM5 3AW ","Refused","27-Oct-22","Principal Planner - South (JS)","2022"
"22/00727/LAW","Certificate of lawful development for the installation of replacement bottom windows and front door","4 Stanley Terrace Douglas Isle Of Man IM2 4EP","Certificate of Lawfulness AGREED","15-Aug-22","Head of Development Management","2022"
"22/00728/B","Blocking up of existing Kitchen window.","9 Langdale Close Onchan Isle Of Man IM3 2DD","Permitted","04-Aug-22","Principal Planner - South (JS)","2022"
"22/00729/LAW","Certificate of lawful development for the installation of replacement upper front windows","4 Stanley Terrace Douglas Isle Of Man IM2 4EP","Certificate of Lawfulness AGREED","09-Aug-22","Director 2017+","2022"
"22/00730/LAW","Certificate of lawful development for the installation of replacement roof slates, roof windows and ventilation spigots","4 Stanley Terrace Douglas Isle Of Man IM2 4EP","Certificate of Lawfulness AGREED","09-Aug-22","Director 2017+","2022"
"22/00731/B","Installation of a replacement ground floor front elevation window and front door","27 Hope Street Castletown Isle Of Man IM9 1AP","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00732/B","Proposed single storey Sun Lounge extension to rear and first floor extension over garage","7 Oak Park Peel Isle Of Man IM5 1XH ","Permitted","05-Aug-22","Principal Planner- North (CB)","2022"
"22/00734/CON","Registered Building Consent for demolition elements to PA 22/00570/B","25 Market Street Douglas Isle Of Man IM1 2PA ","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00735/B","Erection of a replacement dwelling","Scravorley Curragh Road St Johns Isle Of Man IM4 3LN","Permitted","19-Aug-22","Principal Planner - South (JS)","2022"
"22/00736/B","Conversion of existing outbuildings into ancillary accommodation with additional tourist use","Ballaragh Old Farmhouse Ballaragh Laxey Isle Of Man IM4 7PN ","Permitted","23-Nov-22","Principal Planner - South (JS)","2022"
"22/00737/B","Erection of fencing (retrospective)","3 King Edward Park Onchan Isle Of Man IM3 2AD","Refused","18-Nov-22","Principal Planner- North (CB)","2022"
"22/00739/B","Installation of replacement windows to front elevation","21 Mona Street Douglas Isle Of Man IM1 2QE","Permitted","15-Jul-22","Principal Planner- North (CB)","2022"
"22/00740/B","New gable window to bathroom","5 King Edward Bay Apartments Sea Cliff Road Onchan Isle Of Man IM3 2JE ","Permitted","12-Aug-22","Principal Planner- North (CB)","2022"
"22/00741/B","Erection of replacement single storey extension to the rear","Conifer Cottage 10 Park Close Glen Vine Isle Of Man IM4 4HB","Permitted","05-Aug-22","Head of Development Management","2022"
"22/00742/B","Installation of replacement windows to rear elevation","4 Bank Street Castletown Isle Of Man IM9 1AT ","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00743/B","Installation of a first floor balcony","4 Windsor Terrace Douglas Isle Of Man IM1 3LU","Refused","29-Jul-22","Principal Planner- North (CB)","2022"
"22/00744/B","Alterations and erection of a 2 storey extension","Ballagarraghyn Cottage Main Road Greeba Isle Of Man IM4 3LH","Permitted","19-Dec-22","Principal Planner - South (JS)","2022"
"22/00745/C","Change of use of building from office space (class 2.1) to retail (class 1.1)","32  Market Street Peel Isle Of Man IM5 1AE ","Permitted","14-Sep-22","Principal Planner - South (JS)","2022"
"22/00746/B","Installation of an air source heat pump replacing existing fossil fuel burner","5 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ","Refused","05-Aug-22","Head of Development Management","2022"
"22/00747/B","Installation of two flues","Ben Vane Phildraw Road Ballasalla Isle Of Man IM9 3EH","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00748/GB","Alterations and extension to dwelling (in association with RB consent application 22/00750/CON)","Old School House Main Road Sulby Isle Of Man IM7 2HP ","Refused","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00749/B","Erection of a detached garage","Field 324226 Main Road Glen Vine Isle Of Man IM4 4AZ ","Permitted","16-Sep-22","Principal Planner- North (CB)","2022"
"22/00750/CON","Alterations to dwelling including the removal of the existing rear conservatory, erection of two single storey extensions at the rear and creation of an additional entrance door on the front elevation - RB171 (in association with application 22/00748/GB)","Old School House Main Road Sulby Isle Of Man IM7 2HP ","Refused","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00751/B","Alterations and erection of a 2 storey extension","Garthcote Ballakillowey Road Colby Isle Of Man IM9 4BD","Permitted","21-Sep-22","Principal Planner- North (CB)","2022"
"22/00752/B","Erection of patio, walling with adjoining clock towers and associated landscaping works (Retrospective)","Copper Top 1 Booilushag Ballajora Ramsey Isle Of Man IM7 1BD","Permitted","27-Oct-22","Principal Planner - South (JS)","2022"
