"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"24/00480/B","Installation of replacement roof with additional rooflight (retrospective) 5 And 6 Wimbledon Court Douglas Isle Of Man IM2 3LY ","DOUGLAS","25 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00480/B"
"24/00481/B","Installation of replacement windows 12 Brighton Terrace Douglas Isle Of Man IM1 4AP ","DOUGLAS","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00481/B"
"24/00492/B","Replacement of bay window with flush window to front elevation. Re-rendering of external walls. Lynton 25 Terence Avenue Douglas Isle Of Man IM2 5BN ","DOUGLAS","25 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00492/B"
"24/00502/B","Demolition of stone wall and creation of off road parking to front of property (retrospective) 8 Victoria Place Douglas Isle Of Man IM2 4ET ","DOUGLAS","29 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00502/B"
"24/00506/B","Installation of replacement windows to front elevation The Crofts 36 Albany Road Douglas Isle Of Man IM2 3NA ","DOUGLAS","29 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00506/B"
"24/00508/B","Replacement windows to rear and front of property to pvc double glazed sash and case. 12 windows in total. Meersbrook Quarterbridge Road Douglas Isle Of Man IM2 3RG ","DOUGLAS","3 May 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00508/B"
"24/00229/A","Approval in principle for the erection of a detached dwelling Land North Of Honeysuckle Cottage Mines Road Laxey Isle Of Man IM4 7NH ","GARFF","29 Feb 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00229/A"
"24/00496/A","Approval in Principle for erection of timber stable block Magher Drine Ballafayle Ramsey Isle Of Man IM7 1EA ","GARFF","26 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00496/A"
"24/00365/B","Alterations and extensions to front and side elevations to provide garaging and additional living accommodation. Laurel Mount House Glen Duff Ramsey Isle Of Man IM7 2AT ","LEZAYRE","2 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00365/B"
"24/00454/C","Additional use of property as holiday accommodation. Ashley House Fort Island Road Derbyhaven Isle Of Man IM9 1TZ ","MALEW","26 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00454/C"
"24/00486/B","Erection of two storey side extension to dwelling, providing accommodation and forming a new main entrance. Construction of detached single-storey garage. Creation of new driveway to garage. 2 Ballahick Cottages Ballahick Lane Ballasalla Isle Of Man IM9 2AD ","MALEW","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00486/B"
"24/00494/C","Change the use of an unused office building on a site zoned for business park/industrial to Class 4.3 other community facilities, in particular 4.3(a) use for the purpose of the assembly of persons for a social or community event, or for religious worship Former Island Timber Shop Port Way Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AL ","MALEW","29 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00494/C"
"24/00440/B","Relocation and reorientation of 2no. agricultural buildings, and alteration to site levels (retrospective) Field 324368 Top Road Crosby Isle Of Man  ","MAROWN","24 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00440/B"
"24/00463/GB","Installation of protective panels to church windows (in association with RB consent 24/00464/CON) St Michaels Church Main Road Kirk Michael Isle Of Man IM6 1ER ","MICHAEL","1 May 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00463/GB"
"24/00464/CON","Registered building consent for the installation of protective panels to church windows RB 248 (in association with 24/00463/GB) St Michaels Church Main Road Kirk Michael Isle Of Man IM6 1ER ","MICHAEL","1 May 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00464/CON"
"24/00430/B","Replacement of garage with sunroom and kitchen extension, erection of porch with access ramp to the north elevation, removal of a chimney, driveway extension and creation of raised decking 29 Hillcrest Grove Onchan Isle Of Man IM3 3HZ ","ONCHAN","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00430/B"
"24/00493/B","Conversion, alteration and extension of Chain Home Radar Bunker to create a dwelling. Radar Bunker Creg Lea Farm Niarbyl Road Dalby Isle Of Man IM5 3BS ","PATRICK","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00493/B"
"24/00301/B","Ongoing operation and decommissioning of a temporary lagoon facility for dewatering and storing sediment dredged from Peel Marina with associated temporary pipelines along and alongside the River Neb between Ballaterson Farm and Peel Marina until 31st December 2026 Field 315179 Ballaterson Farm Glenfaba Road Peel Isle Of Man   ","PEEL","14 Mar 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00301/B"
"24/00499/D","Tesco fascia sign to front facade cladding above entrance doors, externally illuminated via trough light above. Tesco fascia sign to side facade cladding on Orchard Road. Two graphic signs to front facade near the service area and to front facade cladding. Store directory sign to entrance doors. Supermarket Bridson Street Port Erin Isle Of Man IM9 6AL ","PORT ERIN","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00499/D"
"24/00470/B","Widening of the front door to the northwest elevation 2 Perwick Road Port St. Mary Isle Of Man IM9 5PA ","PORT ST MARY","25 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00470/B"
"24/00513/B","Installation of replacement windows to front elevation Brier Cottage 3 Willow Terrace Port St Mary Isle Of Man IM9 5DY ","PORT ST MARY","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00513/B"
"24/00334/B","Extension of existing dwelling 1 Lheaney Grove Ramsey Isle Of Man IM8 2JQ ","RAMSEY","29 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00334/B"
"24/00462/B","Single storey rear extension Kyalami Windsor Road Ramsey Isle Of Man IM8 3EG ","RAMSEY","26 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00462/B"
"24/00473/B","Remove existing lean-to entrance canopies and erect flat roof GRP entrance canopies 5-6 Cronk Elfin Ramsey Isle Of Man IM8 2EX ","RAMSEY","26 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00473/B"
"24/00474/B","Erection of two detached dwellings with garaging and alterations to existing vehicular access Land To Rear Of The Auburns  No 19 Lezayre Road Ramsey IM8 2LP  ","RAMSEY","1 May 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00474/B"
"24/00476/B","Conversion of former bank (class 1.2) to office (class 2.1) 11 - 12 St Pauls Square Ramsey Isle Of Man IM8 1LE ","RAMSEY","25 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00476/B"
"24/00415/B","Ground floor extension and alterations and Conversion of existing roof into habitable space by raising the roof, erection of 2 dormers and installation of roof lights 1 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE ","RUSHEN","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00415/B"
"24/00457/B","Erection of external staircase and landing; replacement of window with glazed doors at first floor level; Installation of roof-light. 3 Balnahow Farm Cottages Balnahow Farm Balnahowe Santon Isle Of Man IM4 1HN ","SANTON","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00457/B"
"24/00447/B","Additional use of field for equestrian purposes and installation of fenced sand school Field 120259 Smeale Ramsey Isle Of Man  ","ANDREAS","18 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00447/B"
"23/01285/B","Erection of a new detached dwelling and re-alignment of access road, (part retrospective), at Plot 4, Stable Fields, Station Road, Ballaugh Field 224255 Station Road Ballaugh Isle Of Man  ","BALLAUGH","7 Nov 2023","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01285/B"
"24/00444/B","Form new entrance with entrance canopy. Block up existing entrance door opening. Low Wood Strang Road Union Mills Isle Of Man IM4 4NP ","BRADDAN","18 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00444/B"
"24/00411/B","Demolish existing detached garage, erection of a two-storey extension, door/window alteration and installation of a dormer window Meadow View Cranstal Road Bride Isle Of Man IM7 4BN ","BRIDE","18 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00411/B"
"24/00420/B","Replacement of existing conservatory, extension over existing family room and rearrangement of existing layout. Bourne Court Brookfield Avenue Castletown Isle Of Man IM9 1TL ","CASTLETOWN","18 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00420/B"
"24/00409/B","Proposed demolition of existing garage and construction of new enlarged garage Garage In Rear Brunswick Road Lane,  To Rear Of 51 Brunswick Road Douglas Isle Of Man IM2 3NW ","DOUGLAS","18 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00409/B"
"24/00413/B","Installation of replacement roof tiles. 34 Cronk Y Berry Douglas Isle Of Man IM2 6ES ","DOUGLAS","19 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00413/B"
"24/00414/B","Conversion of building to provide four apartments involving replacement roof slates, windows, door, guttering and downpipes and provision of cycle storage 8 Raphael Road Douglas Isle Of Man IM1 3EH ","DOUGLAS","19 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00414/B"
"24/00461/B","Erection of single storey extension off rear elevation 15 Farmhill Mews Douglas Isle Of Man IM2 2EJ ","DOUGLAS","19 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00461/B"
"24/00479/B","Removal of two chimney stacks and associated roof repairs. Application of external insulation boards and render. Demolition of porch (Partially retrospective) Burnside Quarterbridge Road Douglas Isle Of Man IM2 3RQ ","DOUGLAS","24 Apr 2024","2024-04-26","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00479/B"
